"","x"
"203","sem defeito"
"204","sem defeito"
"205","sem defeito"
"206","sem defeito"
"207","sem defeito"
"208","sem defeito"
"209","sem defeito"
"210","sem defeito"
"211","sem defeito"
"212","defeito"
"213","sem defeito"
"214","sem defeito"
"215","sem defeito"
"216","sem defeito"
"217","sem defeito"
"218","sem defeito"
"219","sem defeito"
"220","sem defeito"
"221","sem defeito"
"222","sem defeito"
"223","sem defeito"
"224","sem defeito"
"225","sem defeito"
"226","sem defeito"
"227","sem defeito"
"228","sem defeito"
"229","sem defeito"
"230","sem defeito"
"231","sem defeito"
"232","sem defeito"
"233","sem defeito"
"234","sem defeito"
"235","sem defeito"
"236","sem defeito"
"237","sem defeito"
"238","sem defeito"
"239","sem defeito"
"240","sem defeito"
"241","sem defeito"
"242","sem defeito"
"243","sem defeito"
"244","sem defeito"
"245","sem defeito"
"246","sem defeito"
"247","sem defeito"
"248","sem defeito"
"249","sem defeito"
"250","sem defeito"
"251","sem defeito"
"252","sem defeito"
"253","sem defeito"
"254","sem defeito"
"255","sem defeito"
"256","sem defeito"
"257","sem defeito"
"258","sem defeito"
"259","sem defeito"
"260","sem defeito"
"261","sem defeito"
"262","sem defeito"
"263","sem defeito"
"264","sem defeito"
"265","sem defeito"
"266","sem defeito"
"267","sem defeito"
"268","sem defeito"
"269","sem defeito"
"270","sem defeito"
"271","sem defeito"
"272","sem defeito"
"273","sem defeito"
"274","sem defeito"
"275","sem defeito"
"276","sem defeito"
"277","sem defeito"
"278","sem defeito"
"279","sem defeito"
"280","sem defeito"
"281","sem defeito"
"282","sem defeito"
"283","sem defeito"
"284","sem defeito"
"285","sem defeito"
"286","sem defeito"
"287","sem defeito"
"288","sem defeito"
"289","sem defeito"
"290","sem defeito"
"291","sem defeito"
"292","sem defeito"
"293","sem defeito"
"294","defeito"
"295","sem defeito"
"296","sem defeito"
"297","sem defeito"
"298","sem defeito"
"299","sem defeito"
"300","sem defeito"
"301","sem defeito"
"302","sem defeito"
"303","sem defeito"
"304","sem defeito"
"305","sem defeito"
"306","sem defeito"
"307","sem defeito"
"308","sem defeito"
"309","sem defeito"
"310","sem defeito"
"311","sem defeito"
"312","sem defeito"
"313","defeito"
"314","sem defeito"
"315","sem defeito"
"316","sem defeito"
"317","sem defeito"
"318","sem defeito"
"319","sem defeito"
"320","sem defeito"
"321","sem defeito"
"322","sem defeito"
"323","sem defeito"
"324","sem defeito"
"325","sem defeito"
"326","sem defeito"
"327","sem defeito"
"328","sem defeito"
"329","sem defeito"
"330","sem defeito"
"331","sem defeito"
"332","sem defeito"
"333","sem defeito"
"334","sem defeito"
"335","sem defeito"
"336","sem defeito"
"337","sem defeito"
"338","sem defeito"
"339","sem defeito"
"340","sem defeito"
"341","sem defeito"
"342","sem defeito"
"343","sem defeito"
"344","sem defeito"
"345","sem defeito"
"346","sem defeito"
"347","sem defeito"
"348","sem defeito"
"349","sem defeito"
"350","sem defeito"
"351","sem defeito"
"352","sem defeito"
"353","sem defeito"
"354","sem defeito"
"355","sem defeito"
"356","sem defeito"
"357","sem defeito"
"358","sem defeito"
"359","sem defeito"
"360","sem defeito"
"361","sem defeito"
"362","defeito"
"363","sem defeito"
"364","sem defeito"
"365","sem defeito"
"366","sem defeito"
"367","sem defeito"
"368","sem defeito"
"369","sem defeito"
"370","defeito"
"371","sem defeito"
"372","sem defeito"
"373","sem defeito"
"374","sem defeito"
"375","sem defeito"
"376","sem defeito"
"377","sem defeito"
"378","sem defeito"
"379","sem defeito"
"380","sem defeito"
"381","sem defeito"
"382","sem defeito"
"383","defeito"
"384","sem defeito"
"385","sem defeito"
"386","sem defeito"
"387","sem defeito"
"388","sem defeito"
"389","sem defeito"
"390","sem defeito"
"391","sem defeito"
"392","defeito"
"393","sem defeito"
"394","sem defeito"
"395","sem defeito"
"396","sem defeito"
"397","defeito"
"398","sem defeito"
"399","sem defeito"
"400","sem defeito"
"401","sem defeito"
"402","sem defeito"
"403","sem defeito"
"404","sem defeito"
"405","sem defeito"
"406","sem defeito"
"407","sem defeito"
"408","sem defeito"
"409","sem defeito"
"410","defeito"
"411","sem defeito"
"412","sem defeito"
"413","sem defeito"
"414","sem defeito"
"415","sem defeito"
"416","sem defeito"
"417","sem defeito"
"418","sem defeito"
"419","sem defeito"
"420","sem defeito"
"421","sem defeito"
"422","sem defeito"
"423","sem defeito"
"424","sem defeito"
"425","sem defeito"
"426","sem defeito"
"427","sem defeito"
"428","defeito"
"429","sem defeito"
"430","sem defeito"
"431","sem defeito"
"432","sem defeito"
"433","sem defeito"
"434","sem defeito"
"435","sem defeito"
"436","sem defeito"
"437","sem defeito"
"438","sem defeito"
"439","sem defeito"
"440","sem defeito"
"441","sem defeito"
"442","sem defeito"
"443","sem defeito"
"444","defeito"
"445","sem defeito"
"446","sem defeito"
"447","sem defeito"
"448","sem defeito"
"449","sem defeito"
"450","sem defeito"
"451","sem defeito"
"452","sem defeito"
"453","sem defeito"
"454","sem defeito"
"455","sem defeito"
"456","sem defeito"
"457","sem defeito"
"458","sem defeito"
"459","sem defeito"
"460","sem defeito"
"461","sem defeito"
"462","sem defeito"
"463","defeito"
"464","sem defeito"
"465","sem defeito"
"466","sem defeito"
"467","defeito"
"468","sem defeito"
"469","sem defeito"
"470","sem defeito"
"471","sem defeito"
"472","sem defeito"
"473","sem defeito"
"474","sem defeito"
"475","sem defeito"
"476","sem defeito"
"477","sem defeito"
"478","sem defeito"
"479","sem defeito"
"480","sem defeito"
"481","sem defeito"
"482","sem defeito"
"483","sem defeito"
"484","sem defeito"
"485","sem defeito"
"486","sem defeito"
"487","sem defeito"
"488","sem defeito"
"489","sem defeito"
"490","sem defeito"
"491","sem defeito"
"492","sem defeito"
"493","sem defeito"
"494","sem defeito"
"495","sem defeito"
"496","sem defeito"
"497","sem defeito"
"498","sem defeito"
"499","sem defeito"
"500","sem defeito"
"501","sem defeito"
"502","sem defeito"
"503","sem defeito"
"504","sem defeito"
"505","sem defeito"
"506","sem defeito"
"507","sem defeito"
"508","sem defeito"
"509","sem defeito"
"510","sem defeito"
"511","sem defeito"
"512","sem defeito"
"513","sem defeito"
"514","sem defeito"
"515","sem defeito"
"516","sem defeito"
"517","sem defeito"
"518","sem defeito"
"519","sem defeito"
"520","sem defeito"
"521","sem defeito"
"522","sem defeito"
"523","sem defeito"
"524","sem defeito"
"525","sem defeito"
"526","sem defeito"
"527","sem defeito"
"528","defeito"
"529","sem defeito"
"530","sem defeito"
"531","sem defeito"
"532","sem defeito"
"533","sem defeito"
"534","sem defeito"
"535","sem defeito"
"536","sem defeito"
"537","sem defeito"
"538","sem defeito"
"539","sem defeito"
"540","defeito"
"541","sem defeito"
"542","sem defeito"
"543","sem defeito"
"544","sem defeito"
"545","sem defeito"
"546","sem defeito"
"547","sem defeito"
"548","sem defeito"
"549","sem defeito"
"550","sem defeito"
"551","sem defeito"
"552","sem defeito"
"553","sem defeito"
"554","sem defeito"
"555","sem defeito"
"556","sem defeito"
"557","sem defeito"
"558","sem defeito"
"559","sem defeito"
"560","sem defeito"
"561","sem defeito"
"562","sem defeito"
"563","sem defeito"
"564","sem defeito"
"565","sem defeito"
"566","sem defeito"
"567","sem defeito"
"568","sem defeito"
"569","sem defeito"
"570","sem defeito"
"571","sem defeito"
"572","sem defeito"
"573","sem defeito"
"574","sem defeito"
"575","sem defeito"
"576","sem defeito"
"577","sem defeito"
"578","sem defeito"
"579","sem defeito"
"580","sem defeito"
"581","sem defeito"
"582","sem defeito"
"583","sem defeito"
"584","sem defeito"
"585","sem defeito"
"586","sem defeito"
"587","sem defeito"
"588","sem defeito"
"589","sem defeito"
"590","sem defeito"
"591","sem defeito"
"592","sem defeito"
"593","sem defeito"
"594","sem defeito"
"595","sem defeito"
"596","sem defeito"
"597","sem defeito"
"598","sem defeito"
"599","sem defeito"
"600","sem defeito"
"601","sem defeito"
"602","sem defeito"
"603","sem defeito"
"604","sem defeito"
"605","sem defeito"
"606","sem defeito"
"607","sem defeito"
"608","sem defeito"
"609","sem defeito"
"610","sem defeito"
"611","sem defeito"
"612","sem defeito"
"613","sem defeito"
"614","sem defeito"
"615","sem defeito"
"616","sem defeito"
"617","sem defeito"
"618","sem defeito"
"619","sem defeito"
"620","sem defeito"
"621","sem defeito"
"622","sem defeito"
"623","sem defeito"
"624","sem defeito"
"625","sem defeito"
"626","sem defeito"
"627","sem defeito"
"628","sem defeito"
"629","sem defeito"
"630","sem defeito"
"631","sem defeito"
"632","sem defeito"
"633","sem defeito"
"634","sem defeito"
"635","sem defeito"
"636","sem defeito"
"637","sem defeito"
"638","sem defeito"
"639","sem defeito"
"640","sem defeito"
"641","sem defeito"
"642","sem defeito"
"643","sem defeito"
"644","sem defeito"
"645","sem defeito"
"646","sem defeito"
"647","sem defeito"
"648","sem defeito"
"649","sem defeito"
"650","sem defeito"
"651","sem defeito"
"652","defeito"
"653","sem defeito"
"654","sem defeito"
"655","sem defeito"
"656","sem defeito"
"657","sem defeito"
"658","sem defeito"
"659","sem defeito"
"660","sem defeito"
"661","sem defeito"
"662","sem defeito"
"663","sem defeito"
"664","sem defeito"
"665","sem defeito"
"666","sem defeito"
"667","sem defeito"
"668","sem defeito"
"669","sem defeito"
"670","sem defeito"
"671","sem defeito"
"672","sem defeito"
"673","sem defeito"
"674","sem defeito"
"675","sem defeito"
"676","sem defeito"
"677","sem defeito"
"678","sem defeito"
"679","sem defeito"
"680","sem defeito"
"681","sem defeito"
"682","sem defeito"
"683","sem defeito"
"684","sem defeito"
"685","sem defeito"
"686","sem defeito"
"687","sem defeito"
"688","sem defeito"
"689","sem defeito"
"690","sem defeito"
"691","sem defeito"
"692","sem defeito"
"693","sem defeito"
"694","sem defeito"
"695","sem defeito"
"696","sem defeito"
"697","sem defeito"
"698","sem defeito"
"699","sem defeito"
"700","sem defeito"
"701","sem defeito"
"702","sem defeito"
"703","defeito"
"704","sem defeito"
"705","sem defeito"
"706","sem defeito"
"707","sem defeito"
"708","sem defeito"
"709","sem defeito"
"710","defeito"
"711","sem defeito"
"712","defeito"
"713","sem defeito"
"714","sem defeito"
"715","sem defeito"
"716","sem defeito"
"717","sem defeito"
"718","sem defeito"
"719","sem defeito"
"720","sem defeito"
"721","sem defeito"
"722","sem defeito"
"723","defeito"
"724","sem defeito"
"725","sem defeito"
"726","sem defeito"
"727","defeito"
"728","sem defeito"
"729","sem defeito"
"730","sem defeito"
"731","sem defeito"
"732","sem defeito"
"733","sem defeito"
"734","sem defeito"
"735","sem defeito"
"736","sem defeito"
"737","sem defeito"
"738","sem defeito"
"739","sem defeito"
"740","sem defeito"
"741","sem defeito"
"742","sem defeito"
"743","sem defeito"
"744","sem defeito"
"745","sem defeito"
"746","sem defeito"
"747","sem defeito"
"748","sem defeito"
"749","sem defeito"
"750","sem defeito"
"751","sem defeito"
"752","sem defeito"
"753","defeito"
"754","sem defeito"
"755","defeito"
"756","sem defeito"
"757","sem defeito"
"758","sem defeito"
"759","sem defeito"
"760","sem defeito"
"761","sem defeito"
"762","sem defeito"
"763","sem defeito"
"764","sem defeito"
"765","sem defeito"
"766","sem defeito"
"767","sem defeito"
"768","defeito"
"769","sem defeito"
"770","sem defeito"
"771","sem defeito"
"772","sem defeito"
"773","defeito"
"774","sem defeito"
"775","sem defeito"
"776","sem defeito"
"777","sem defeito"
"778","sem defeito"
"779","sem defeito"
"780","sem defeito"
"781","sem defeito"
"782","sem defeito"
"783","sem defeito"
"784","sem defeito"
"785","sem defeito"
"786","sem defeito"
"787","sem defeito"
"788","sem defeito"
"789","sem defeito"
"790","sem defeito"
"791","sem defeito"
"792","sem defeito"
"793","sem defeito"
"794","sem defeito"
"795","sem defeito"
"796","sem defeito"
"797","sem defeito"
"798","sem defeito"
"799","sem defeito"
"800","sem defeito"
"801","sem defeito"
"802","sem defeito"
"803","sem defeito"
"804","sem defeito"
"805","sem defeito"
"806","sem defeito"
"807","sem defeito"
"808","sem defeito"
"809","sem defeito"
"810","sem defeito"
"811","sem defeito"
"812","sem defeito"
"813","sem defeito"
"814","sem defeito"
"815","sem defeito"
"816","sem defeito"
"817","sem defeito"
"818","sem defeito"
"819","sem defeito"
"820","sem defeito"
"821","sem defeito"
"822","sem defeito"
"823","sem defeito"
"824","sem defeito"
"825","sem defeito"
"826","sem defeito"
"827","sem defeito"
"828","sem defeito"
"829","sem defeito"
"830","sem defeito"
"831","sem defeito"
"832","sem defeito"
"833","sem defeito"
"834","sem defeito"
"835","sem defeito"
"836","sem defeito"
"837","sem defeito"
"838","sem defeito"
"839","sem defeito"
"840","sem defeito"
"841","sem defeito"
"842","sem defeito"
"843","sem defeito"
"844","sem defeito"
"845","sem defeito"
"846","sem defeito"
"847","sem defeito"
"848","sem defeito"
"849","sem defeito"
"850","defeito"
"851","sem defeito"
"852","sem defeito"
"853","sem defeito"
"854","sem defeito"
"855","sem defeito"
"856","sem defeito"
"857","sem defeito"
"858","sem defeito"
"859","sem defeito"
"860","defeito"
"861","sem defeito"
"862","sem defeito"
"863","sem defeito"
"864","sem defeito"
"865","sem defeito"
"866","sem defeito"
"867","sem defeito"
"868","sem defeito"
"869","sem defeito"
"870","sem defeito"
"871","sem defeito"
"872","sem defeito"
"873","sem defeito"
"874","sem defeito"
"875","sem defeito"
"876","sem defeito"
"877","sem defeito"
"878","sem defeito"
"879","sem defeito"
"880","sem defeito"
"881","sem defeito"
"882","sem defeito"
"883","sem defeito"
"884","sem defeito"
"885","sem defeito"
"886","sem defeito"
"887","sem defeito"
"888","sem defeito"
"889","sem defeito"
"890","sem defeito"
"891","sem defeito"
"892","sem defeito"
"893","sem defeito"
"894","sem defeito"
"895","sem defeito"
"896","sem defeito"
"897","sem defeito"
"898","sem defeito"
"899","sem defeito"
"900","sem defeito"
"901","sem defeito"
"902","sem defeito"
"903","sem defeito"
"904","sem defeito"
"905","sem defeito"
"906","sem defeito"
"907","sem defeito"
"908","sem defeito"
"909","sem defeito"
"910","sem defeito"
"911","sem defeito"
"912","sem defeito"
"913","sem defeito"
"914","sem defeito"
"915","sem defeito"
"916","sem defeito"
"917","sem defeito"
"918","sem defeito"
"919","sem defeito"
"920","sem defeito"
"921","sem defeito"
"922","sem defeito"
"923","sem defeito"
"924","sem defeito"
"925","sem defeito"
"926","sem defeito"
"927","defeito"
"928","sem defeito"
"929","sem defeito"
"930","sem defeito"
"931","sem defeito"
"932","sem defeito"
"933","sem defeito"
"934","sem defeito"
"935","sem defeito"
"936","sem defeito"
"937","sem defeito"
"938","sem defeito"
"939","sem defeito"
"940","sem defeito"
"941","sem defeito"
"942","sem defeito"
"943","sem defeito"
"944","sem defeito"
"945","sem defeito"
"946","sem defeito"
"947","sem defeito"
"948","sem defeito"
"949","sem defeito"
"950","sem defeito"
"951","sem defeito"
"952","sem defeito"
"953","sem defeito"
"954","sem defeito"
"955","sem defeito"
"956","sem defeito"
"957","sem defeito"
"958","sem defeito"
"959","sem defeito"
"960","sem defeito"
"961","sem defeito"
"962","sem defeito"
"963","sem defeito"
"964","sem defeito"
"965","sem defeito"
"966","sem defeito"
"967","sem defeito"
"968","sem defeito"
"969","sem defeito"
"970","sem defeito"
"971","sem defeito"
"972","sem defeito"
"973","sem defeito"
"974","sem defeito"
"975","sem defeito"
"976","sem defeito"
"977","defeito"
"978","sem defeito"
"979","sem defeito"
"980","sem defeito"
"981","sem defeito"
"982","sem defeito"
"983","sem defeito"
"984","sem defeito"
"985","sem defeito"
"986","defeito"
"987","sem defeito"
"988","sem defeito"
"989","sem defeito"
"990","sem defeito"
"991","sem defeito"
"992","sem defeito"
"993","sem defeito"
"994","sem defeito"
"995","sem defeito"
"996","sem defeito"
"997","sem defeito"
"998","sem defeito"
"999","sem defeito"
"1000","sem defeito"
"1001","sem defeito"
"1002","sem defeito"
"1003","sem defeito"
"1004","sem defeito"
"1005","sem defeito"
"1006","sem defeito"
"1007","sem defeito"
"1008","sem defeito"
"1009","sem defeito"
"1010","sem defeito"
"1011","sem defeito"
"1012","sem defeito"
"1013","sem defeito"
"1014","sem defeito"
"1015","sem defeito"
"1016","sem defeito"
"1017","sem defeito"
"1018","sem defeito"
"1019","sem defeito"
"1020","sem defeito"
"1021","sem defeito"
"1022","sem defeito"
"1023","sem defeito"
"1024","sem defeito"
"1025","sem defeito"
"1026","sem defeito"
"1027","sem defeito"
"1028","sem defeito"
"1029","sem defeito"
"1030","sem defeito"
"1031","sem defeito"
"1032","sem defeito"
"1033","sem defeito"
"1034","sem defeito"
"1035","sem defeito"
"1036","sem defeito"
"1037","sem defeito"
"1038","sem defeito"
"1039","sem defeito"
"1040","sem defeito"
"1041","sem defeito"
"1042","sem defeito"
"1043","sem defeito"
"1044","sem defeito"
"1045","sem defeito"
"1046","sem defeito"
"1047","sem defeito"
"1048","sem defeito"
"1049","sem defeito"
"1050","sem defeito"
"1051","sem defeito"
"1052","sem defeito"
"1053","sem defeito"
"1054","sem defeito"
"1055","sem defeito"
"1056","sem defeito"
"1057","sem defeito"
"1058","sem defeito"
"1059","sem defeito"
"1060","sem defeito"
"1061","sem defeito"
"1062","sem defeito"
"1063","sem defeito"
"1064","sem defeito"
"1065","sem defeito"
"1066","sem defeito"
"1067","sem defeito"
"1068","sem defeito"
"1069","sem defeito"
"1070","sem defeito"
"1071","sem defeito"
"1072","sem defeito"
"1073","sem defeito"
"1074","sem defeito"
"1075","sem defeito"
"1076","sem defeito"
"1077","sem defeito"
"1078","sem defeito"
"1079","sem defeito"
"1080","sem defeito"
"1081","sem defeito"
"1082","sem defeito"
"1083","sem defeito"
"1084","sem defeito"
"1085","sem defeito"
"1086","sem defeito"
"1087","sem defeito"
"1088","sem defeito"
"1089","sem defeito"
"1090","sem defeito"
"1091","sem defeito"
"1092","sem defeito"
"1093","sem defeito"
"1094","sem defeito"
"1095","sem defeito"
"1096","sem defeito"
"1097","sem defeito"
"1098","sem defeito"
"1099","sem defeito"
"1100","sem defeito"
"1101","sem defeito"
"1102","sem defeito"
"1103","sem defeito"
"1104","sem defeito"
"1105","sem defeito"
"1106","sem defeito"
"1107","sem defeito"
"1108","sem defeito"
"1109","sem defeito"
"1110","defeito"
"1111","sem defeito"
"1112","sem defeito"
"1113","sem defeito"
"1114","sem defeito"
"1115","sem defeito"
"1116","sem defeito"
"1117","defeito"
"1118","defeito"
"1119","sem defeito"
"1120","sem defeito"
"1121","sem defeito"
"1122","sem defeito"
"1123","sem defeito"
"1124","sem defeito"
"1125","sem defeito"
"1126","sem defeito"
"1127","sem defeito"
"1128","sem defeito"
"1129","sem defeito"
"1130","sem defeito"
"1131","sem defeito"
"1132","sem defeito"
"1133","sem defeito"
"1134","sem defeito"
"1135","sem defeito"
"1136","sem defeito"
"1137","sem defeito"
"1138","sem defeito"
"1139","sem defeito"
"1140","sem defeito"
"1141","sem defeito"
"1142","sem defeito"
"1143","sem defeito"
"1144","sem defeito"
"1145","defeito"
"1146","sem defeito"
"1147","sem defeito"
"1148","sem defeito"
"1149","sem defeito"
"1150","sem defeito"
"1151","sem defeito"
"1152","sem defeito"
"1153","sem defeito"
"1154","sem defeito"
"1155","sem defeito"
"1156","sem defeito"
"1157","sem defeito"
"1158","sem defeito"
"1159","sem defeito"
"1160","sem defeito"
"1161","sem defeito"
"1162","sem defeito"
"1163","sem defeito"
"1164","sem defeito"
"1165","sem defeito"
"1166","sem defeito"
"1167","sem defeito"
"1168","sem defeito"
"1169","sem defeito"
"1170","sem defeito"
"1171","sem defeito"
"1172","sem defeito"
"1173","sem defeito"
"1174","sem defeito"
"1175","sem defeito"
"1176","sem defeito"
"1177","sem defeito"
"1178","sem defeito"
"1179","sem defeito"
"1180","sem defeito"
"1181","sem defeito"
"1182","sem defeito"
"1183","sem defeito"
"1184","sem defeito"
"1185","defeito"
"1186","sem defeito"
"1187","sem defeito"
"1188","sem defeito"
"1189","sem defeito"
"1190","sem defeito"
"1191","sem defeito"
"1192","sem defeito"
"1193","sem defeito"
"1194","sem defeito"
"1195","defeito"
"1196","sem defeito"
"1197","sem defeito"
"1198","sem defeito"
"1199","sem defeito"
"1200","sem defeito"
"1201","sem defeito"
"1202","sem defeito"
"1203","sem defeito"
"1204","sem defeito"
"1205","sem defeito"
"1206","defeito"
"1207","sem defeito"
"1208","sem defeito"
"1209","sem defeito"
"1210","sem defeito"
"1211","sem defeito"
"1212","sem defeito"
"1213","sem defeito"
"1214","sem defeito"
"1215","sem defeito"
"1216","sem defeito"
"1217","sem defeito"
"1218","sem defeito"
"1219","sem defeito"
"1220","sem defeito"
"1221","sem defeito"
"1222","sem defeito"
"1223","sem defeito"
"1224","sem defeito"
"1225","sem defeito"
"1226","sem defeito"
"1227","sem defeito"
"1228","sem defeito"
"1229","sem defeito"
"1230","sem defeito"
"1231","sem defeito"
"1232","sem defeito"
"1233","sem defeito"
"1234","sem defeito"
"1235","sem defeito"
"1236","sem defeito"
"1237","sem defeito"
"1238","sem defeito"
"1239","sem defeito"
"1240","sem defeito"
"1241","sem defeito"
"1242","sem defeito"
"1243","sem defeito"
"1244","sem defeito"
"1245","sem defeito"
"1246","sem defeito"
"1247","sem defeito"
"1248","defeito"
"1249","sem defeito"
"1250","sem defeito"
"1251","sem defeito"
"1252","sem defeito"
"1253","sem defeito"
"1254","sem defeito"
"1255","sem defeito"
"1256","sem defeito"
"1257","sem defeito"
"1258","sem defeito"
"1259","sem defeito"
"1260","sem defeito"
"1261","sem defeito"
"1262","sem defeito"
"1263","sem defeito"
"1264","sem defeito"
"1265","sem defeito"
"1266","sem defeito"
"1267","sem defeito"
"1268","sem defeito"
"1269","sem defeito"
"1270","sem defeito"
"1271","sem defeito"
"1272","sem defeito"
"1273","sem defeito"
"1274","sem defeito"
"1275","sem defeito"
"1276","sem defeito"
"1277","sem defeito"
"1278","sem defeito"
"1279","sem defeito"
"1280","sem defeito"
"1281","sem defeito"
"1282","sem defeito"
"1283","sem defeito"
"1284","sem defeito"
"1285","sem defeito"
"1286","sem defeito"
"1287","sem defeito"
"1288","defeito"
"1289","sem defeito"
"1290","sem defeito"
"1291","sem defeito"
"1292","sem defeito"
"1293","sem defeito"
"1294","sem defeito"
"1295","sem defeito"
"1296","sem defeito"
"1297","defeito"
"1298","sem defeito"
"1299","sem defeito"
"1300","sem defeito"
"1301","sem defeito"
"1302","sem defeito"
"1303","sem defeito"
"1304","sem defeito"
"1305","sem defeito"
"1306","sem defeito"
"1307","sem defeito"
"1308","sem defeito"
"1309","sem defeito"
"1310","sem defeito"
"1311","sem defeito"
"1312","defeito"
"1313","sem defeito"
"1314","sem defeito"
"1315","sem defeito"
"1316","sem defeito"
"1317","sem defeito"
"1318","sem defeito"
"1319","sem defeito"
"1320","sem defeito"
"1321","sem defeito"
"1322","sem defeito"
"1323","sem defeito"
"1324","sem defeito"
"1325","sem defeito"
"1326","sem defeito"
"1327","sem defeito"
"1328","sem defeito"
"1329","sem defeito"
"1330","sem defeito"
"1331","sem defeito"
"1332","sem defeito"
"1333","sem defeito"
"1334","sem defeito"
"1335","sem defeito"
"1336","sem defeito"
"1337","sem defeito"
"1338","sem defeito"
"1339","sem defeito"
"1340","sem defeito"
"1341","sem defeito"
"1342","sem defeito"
"1343","sem defeito"
"1344","sem defeito"
"1345","sem defeito"
"1346","sem defeito"
"1347","sem defeito"
"1348","sem defeito"
"1349","sem defeito"
"1350","sem defeito"
"1351","sem defeito"
"1352","defeito"
"1353","sem defeito"
"1354","sem defeito"
"1355","sem defeito"
"1356","sem defeito"
"1357","sem defeito"
"1358","sem defeito"
"1359","sem defeito"
"1360","sem defeito"
"1361","sem defeito"
"1362","sem defeito"
"1363","sem defeito"
"1364","sem defeito"
"1365","sem defeito"
"1366","sem defeito"
"1367","sem defeito"
"1368","sem defeito"
"1369","sem defeito"
"1370","sem defeito"
"1371","sem defeito"
