"","x"
"204","sem defeito"
"205","sem defeito"
"206","sem defeito"
"207","sem defeito"
"208","sem defeito"
"209","sem defeito"
"210","sem defeito"
"211","sem defeito"
"212","sem defeito"
"213","sem defeito"
"214","sem defeito"
"215","sem defeito"
"216","sem defeito"
"217","sem defeito"
"218","sem defeito"
"219","sem defeito"
"220","sem defeito"
"221","sem defeito"
"222","sem defeito"
"223","sem defeito"
"224","sem defeito"
"225","sem defeito"
"226","sem defeito"
"227","sem defeito"
"228","sem defeito"
"229","sem defeito"
"230","sem defeito"
"231","sem defeito"
"232","sem defeito"
"233","sem defeito"
"234","sem defeito"
"235","sem defeito"
"236","sem defeito"
"237","sem defeito"
"238","sem defeito"
"239","sem defeito"
"240","sem defeito"
"241","sem defeito"
"242","sem defeito"
"243","sem defeito"
"244","sem defeito"
"245","sem defeito"
"246","sem defeito"
"247","sem defeito"
"248","sem defeito"
"249","sem defeito"
"250","sem defeito"
"251","sem defeito"
"252","sem defeito"
"253","sem defeito"
"254","sem defeito"
"255","sem defeito"
"256","sem defeito"
"257","sem defeito"
"258","sem defeito"
"259","sem defeito"
"260","sem defeito"
"261","sem defeito"
"262","sem defeito"
"263","sem defeito"
"264","sem defeito"
"265","sem defeito"
"266","sem defeito"
"267","sem defeito"
"268","sem defeito"
"269","sem defeito"
"270","sem defeito"
"271","sem defeito"
"272","sem defeito"
"273","sem defeito"
"274","sem defeito"
"275","sem defeito"
"276","sem defeito"
"277","sem defeito"
"278","defeito"
"279","defeito"
"280","sem defeito"
"281","sem defeito"
"282","sem defeito"
"283","sem defeito"
"284","sem defeito"
"285","sem defeito"
"286","sem defeito"
"287","sem defeito"
"288","sem defeito"
"289","sem defeito"
"290","sem defeito"
"291","sem defeito"
"292","sem defeito"
"293","sem defeito"
"294","sem defeito"
"295","sem defeito"
"296","sem defeito"
"297","sem defeito"
"298","sem defeito"
"299","sem defeito"
"300","sem defeito"
"301","sem defeito"
"302","sem defeito"
"303","sem defeito"
"304","sem defeito"
"305","sem defeito"
"306","sem defeito"
"307","sem defeito"
"308","sem defeito"
"309","sem defeito"
"310","sem defeito"
"311","sem defeito"
"312","sem defeito"
"313","sem defeito"
"314","defeito"
"315","sem defeito"
"316","sem defeito"
"317","sem defeito"
"318","sem defeito"
"319","sem defeito"
"320","sem defeito"
"321","sem defeito"
"322","sem defeito"
"323","sem defeito"
"324","sem defeito"
"325","sem defeito"
"326","defeito"
"327","sem defeito"
"328","sem defeito"
"329","sem defeito"
"330","sem defeito"
"331","sem defeito"
"332","sem defeito"
"333","sem defeito"
"334","sem defeito"
"335","sem defeito"
"336","sem defeito"
"337","sem defeito"
"338","sem defeito"
"339","sem defeito"
"340","sem defeito"
"341","sem defeito"
"342","sem defeito"
"343","sem defeito"
"344","sem defeito"
"345","sem defeito"
"346","sem defeito"
"347","sem defeito"
"348","sem defeito"
"349","sem defeito"
"350","sem defeito"
"351","sem defeito"
"352","sem defeito"
"353","sem defeito"
"354","sem defeito"
"355","sem defeito"
"356","sem defeito"
"357","sem defeito"
"358","sem defeito"
"359","sem defeito"
"360","sem defeito"
"361","sem defeito"
"362","sem defeito"
"363","sem defeito"
"364","sem defeito"
"365","sem defeito"
"366","sem defeito"
"367","sem defeito"
"368","sem defeito"
"369","sem defeito"
"370","sem defeito"
"371","sem defeito"
"372","sem defeito"
"373","sem defeito"
"374","sem defeito"
"375","sem defeito"
"376","sem defeito"
"377","sem defeito"
"378","sem defeito"
"379","sem defeito"
"380","sem defeito"
"381","sem defeito"
"382","sem defeito"
"383","sem defeito"
"384","sem defeito"
"385","sem defeito"
"386","sem defeito"
"387","sem defeito"
"388","sem defeito"
"389","sem defeito"
"390","sem defeito"
"391","sem defeito"
"392","sem defeito"
"393","sem defeito"
"394","sem defeito"
"395","sem defeito"
"396","sem defeito"
"397","sem defeito"
"398","sem defeito"
"399","sem defeito"
"400","sem defeito"
"401","sem defeito"
"402","sem defeito"
"403","sem defeito"
"404","sem defeito"
"405","sem defeito"
"406","sem defeito"
"407","sem defeito"
"408","sem defeito"
"409","sem defeito"
"410","sem defeito"
"411","sem defeito"
"412","sem defeito"
"413","sem defeito"
"414","sem defeito"
"415","sem defeito"
"416","sem defeito"
"417","sem defeito"
"418","sem defeito"
"419","sem defeito"
"420","sem defeito"
"421","sem defeito"
"422","sem defeito"
"423","sem defeito"
"424","sem defeito"
"425","sem defeito"
"426","sem defeito"
"427","sem defeito"
"428","sem defeito"
"429","sem defeito"
"430","sem defeito"
"431","sem defeito"
"432","sem defeito"
"433","sem defeito"
"434","sem defeito"
"435","sem defeito"
"436","sem defeito"
"437","sem defeito"
"438","sem defeito"
"439","sem defeito"
"440","sem defeito"
"441","sem defeito"
"442","sem defeito"
"443","sem defeito"
"444","sem defeito"
"445","sem defeito"
"446","sem defeito"
"447","sem defeito"
"448","sem defeito"
"449","sem defeito"
"450","sem defeito"
"451","sem defeito"
"452","sem defeito"
"453","sem defeito"
"454","sem defeito"
"455","sem defeito"
"456","sem defeito"
"457","sem defeito"
"458","sem defeito"
"459","sem defeito"
"460","sem defeito"
"461","sem defeito"
"462","sem defeito"
"463","defeito"
"464","sem defeito"
"465","sem defeito"
"466","sem defeito"
"467","sem defeito"
"468","sem defeito"
"469","sem defeito"
"470","sem defeito"
"471","defeito"
"472","sem defeito"
"473","sem defeito"
"474","sem defeito"
"475","sem defeito"
"476","sem defeito"
"477","sem defeito"
"478","sem defeito"
"479","sem defeito"
"480","sem defeito"
"481","sem defeito"
"482","sem defeito"
"483","sem defeito"
"484","sem defeito"
"485","sem defeito"
"486","sem defeito"
"487","sem defeito"
"488","sem defeito"
"489","sem defeito"
"490","sem defeito"
"491","sem defeito"
"492","sem defeito"
"493","sem defeito"
"494","sem defeito"
"495","sem defeito"
"496","sem defeito"
"497","sem defeito"
"498","sem defeito"
"499","sem defeito"
"500","sem defeito"
"501","sem defeito"
"502","sem defeito"
"503","sem defeito"
"504","sem defeito"
"505","sem defeito"
"506","sem defeito"
"507","sem defeito"
"508","sem defeito"
"509","sem defeito"
"510","sem defeito"
"511","sem defeito"
"512","sem defeito"
"513","sem defeito"
"514","sem defeito"
"515","sem defeito"
"516","sem defeito"
"517","sem defeito"
"518","sem defeito"
"519","sem defeito"
"520","sem defeito"
"521","sem defeito"
"522","sem defeito"
"523","sem defeito"
"524","sem defeito"
"525","sem defeito"
"526","sem defeito"
"527","sem defeito"
"528","sem defeito"
"529","sem defeito"
"530","sem defeito"
"531","sem defeito"
"532","sem defeito"
"533","sem defeito"
"534","sem defeito"
"535","sem defeito"
"536","sem defeito"
"537","sem defeito"
"538","sem defeito"
"539","sem defeito"
"540","sem defeito"
"541","sem defeito"
"542","sem defeito"
"543","sem defeito"
"544","sem defeito"
"545","sem defeito"
"546","sem defeito"
"547","sem defeito"
"548","defeito"
"549","defeito"
"550","sem defeito"
"551","sem defeito"
"552","sem defeito"
"553","sem defeito"
"554","sem defeito"
"555","sem defeito"
"556","sem defeito"
"557","sem defeito"
"558","sem defeito"
"559","sem defeito"
"560","sem defeito"
"561","sem defeito"
"562","sem defeito"
"563","sem defeito"
"564","sem defeito"
"565","sem defeito"
"566","sem defeito"
"567","sem defeito"
"568","sem defeito"
"569","sem defeito"
"570","sem defeito"
"571","sem defeito"
"572","sem defeito"
"573","sem defeito"
"574","sem defeito"
"575","sem defeito"
"576","sem defeito"
"577","sem defeito"
"578","sem defeito"
"579","sem defeito"
"580","sem defeito"
"581","sem defeito"
"582","sem defeito"
"583","sem defeito"
"584","sem defeito"
"585","sem defeito"
"586","sem defeito"
"587","sem defeito"
"588","sem defeito"
"589","sem defeito"
"590","sem defeito"
"591","sem defeito"
"592","sem defeito"
"593","sem defeito"
"594","sem defeito"
"595","sem defeito"
"596","sem defeito"
"597","sem defeito"
"598","sem defeito"
"599","sem defeito"
"600","sem defeito"
"601","sem defeito"
"602","sem defeito"
"603","sem defeito"
"604","sem defeito"
"605","sem defeito"
"606","sem defeito"
"607","sem defeito"
"608","sem defeito"
"609","sem defeito"
"610","sem defeito"
"611","sem defeito"
"612","sem defeito"
"613","sem defeito"
"614","sem defeito"
"615","sem defeito"
"616","sem defeito"
"617","sem defeito"
"618","sem defeito"
"619","sem defeito"
"620","sem defeito"
"621","sem defeito"
"622","sem defeito"
"623","sem defeito"
"624","sem defeito"
"625","sem defeito"
"626","sem defeito"
"627","sem defeito"
"628","sem defeito"
"629","sem defeito"
"630","sem defeito"
"631","sem defeito"
"632","sem defeito"
"633","sem defeito"
"634","sem defeito"
"635","sem defeito"
"636","sem defeito"
"637","sem defeito"
"638","sem defeito"
"639","sem defeito"
"640","sem defeito"
"641","sem defeito"
"642","sem defeito"
"643","sem defeito"
"644","sem defeito"
"645","sem defeito"
"646","sem defeito"
"647","sem defeito"
"648","sem defeito"
"649","sem defeito"
"650","sem defeito"
"651","sem defeito"
"652","sem defeito"
"653","sem defeito"
"654","sem defeito"
"655","sem defeito"
"656","sem defeito"
"657","sem defeito"
"658","defeito"
"659","sem defeito"
"660","sem defeito"
"661","sem defeito"
"662","sem defeito"
"663","sem defeito"
"664","sem defeito"
"665","sem defeito"
"666","sem defeito"
"667","sem defeito"
"668","sem defeito"
"669","sem defeito"
"670","sem defeito"
"671","sem defeito"
"672","sem defeito"
"673","sem defeito"
"674","sem defeito"
"675","sem defeito"
"676","sem defeito"
"677","sem defeito"
"678","sem defeito"
"679","sem defeito"
"680","sem defeito"
"681","sem defeito"
"682","sem defeito"
"683","sem defeito"
"684","sem defeito"
"685","sem defeito"
"686","sem defeito"
"687","sem defeito"
"688","sem defeito"
"689","sem defeito"
"690","sem defeito"
"691","sem defeito"
"692","sem defeito"
"693","sem defeito"
"694","sem defeito"
"695","sem defeito"
"696","sem defeito"
"697","sem defeito"
"698","sem defeito"
"699","sem defeito"
"700","sem defeito"
"701","sem defeito"
"702","defeito"
"703","sem defeito"
"704","sem defeito"
"705","sem defeito"
"706","sem defeito"
"707","sem defeito"
"708","sem defeito"
"709","sem defeito"
"710","sem defeito"
"711","sem defeito"
"712","sem defeito"
"713","sem defeito"
"714","sem defeito"
"715","sem defeito"
"716","sem defeito"
"717","sem defeito"
"718","sem defeito"
"719","sem defeito"
"720","sem defeito"
"721","sem defeito"
"722","sem defeito"
"723","sem defeito"
"724","sem defeito"
"725","sem defeito"
"726","sem defeito"
"727","sem defeito"
"728","sem defeito"
"729","sem defeito"
"730","sem defeito"
"731","sem defeito"
"732","sem defeito"
"733","sem defeito"
"734","sem defeito"
"735","sem defeito"
"736","sem defeito"
"737","sem defeito"
"738","sem defeito"
"739","sem defeito"
"740","sem defeito"
"741","sem defeito"
"742","sem defeito"
"743","sem defeito"
"744","sem defeito"
"745","sem defeito"
"746","sem defeito"
"747","sem defeito"
"748","sem defeito"
"749","sem defeito"
"750","sem defeito"
"751","sem defeito"
"752","sem defeito"
"753","sem defeito"
"754","sem defeito"
"755","sem defeito"
"756","sem defeito"
"757","sem defeito"
"758","sem defeito"
"759","sem defeito"
"760","sem defeito"
"761","sem defeito"
"762","sem defeito"
"763","sem defeito"
"764","sem defeito"
"765","sem defeito"
"766","sem defeito"
"767","sem defeito"
"768","sem defeito"
"769","sem defeito"
"770","defeito"
"771","sem defeito"
"772","sem defeito"
"773","sem defeito"
"774","sem defeito"
"775","sem defeito"
"776","sem defeito"
"777","sem defeito"
"778","sem defeito"
"779","sem defeito"
"780","sem defeito"
"781","sem defeito"
"782","sem defeito"
"783","sem defeito"
"784","sem defeito"
"785","sem defeito"
"786","sem defeito"
"787","sem defeito"
"788","sem defeito"
"789","sem defeito"
"790","defeito"
"791","sem defeito"
"792","sem defeito"
"793","sem defeito"
"794","sem defeito"
"795","sem defeito"
"796","sem defeito"
"797","sem defeito"
"798","sem defeito"
"799","sem defeito"
"800","sem defeito"
"801","sem defeito"
"802","sem defeito"
"803","sem defeito"
"804","sem defeito"
"805","sem defeito"
"806","sem defeito"
"807","sem defeito"
"808","defeito"
"809","sem defeito"
"810","sem defeito"
"811","sem defeito"
"812","sem defeito"
"813","sem defeito"
"814","sem defeito"
"815","sem defeito"
"816","sem defeito"
"817","sem defeito"
"818","sem defeito"
"819","sem defeito"
"820","sem defeito"
"821","sem defeito"
"822","sem defeito"
